#,Company,Brand,Parent_or_Independent,Website,Functionality,Geography,Is_Relevant,Summary
=== Component Suppliers (16) ===
2,Apple Inc.,Apple,Independent,apple.com,Designs and markets iPhone under its own brand,global,yes,"Apple designs and sells the iPhone, a leading smartphone, along with its iOS ecosystem and services. It is a major OEM in the global smartphone market."
3,Blackview,Blackview,Independent,blackview.hk,Manufactures rugged smartphones for niche markets,global,yes,Blackview designs and manufactures rugged smartphones built to withstand harsh environments. It targets outdoor enthusiasts and industrial workers with durable devices.
4,Fairphone,Fairphone,Independent,fairphone.com,"Designs and sells modular, ethical smartphones",global,yes,"Fairphone designs and sells modular smartphones with a focus on repairability, ethical sourcing, and sustainability. It targets consumers seeking an alternative to mainstream devices."
5,"Huawei Technologies Co., Ltd.",Huawei,Independent,consumer.huawei.com,Designs and sells smartphones under own brand,global,yes,"Huawei designs and sells smartphones under its own brand, competing in the global smartphone market with a focus on premium devices and ecosystem integration."
6,Lavamobiles,Lava,Independent,lavamobiles.com,Designs and sells affordable smartphones in India,global,yes,Lava International is an Indian smartphone manufacturer that designs and sells affordable mobile phones and tablets primarily in India and emerging markets.
7,Motorola Mobility LLC,Motorola,Acquired by Lenovo,motorola.in,Designs and sells smartphones under own brand,global,yes,"Motorola designs and sells smartphones under its own brand, offering a range of devices from budget to premium, including foldable models. It operates as a subsidiary of Lenovo and competes in the global smartphone market."
8,Tecno Mobile,Tecno Mobile,Independent,tecno-mobile.com,Sells affordable smartphones in emerging markets,global,yes,"Tecno Mobile is a smartphone brand focused on emerging markets, offering affordable devices with features tailored to local needs."
9,Vivo,Vivo,Independent,vivo.com,Designs and sells smartphones globally,global,yes,"Vivo is a Chinese smartphone manufacturer that designs, develops, and sells mobile phones globally. It focuses on camera technology and design for consumer markets."
10,Xiaomi Inc.,Xiaomi,Independent,mi.com,Designs and sells smartphones under its own brand,global,yes,"Xiaomi designs, manufactures, and sells smartphones and a wide range of consumer electronics. It is one of the world's largest smartphone brands, competing primarily in the mid-range and premium segments."

=== Mobile Network Operators (MNOs) and Carriers (5) ===
1,Claro,Claro,Subsidiary of América Móvil,claro.com,Sells smartphones with network plans and subsidies,global,yes,"Claro is a mobile network operator that sells smartphones to consumers through contract and prepaid plans, providing network connectivity and device subsidies."
2,Grameenphone,Grameenphone,Independent,grameenphone.com,Sells smartphones bundled with network plans,global,yes,"Grameenphone is a leading mobile network operator in Bangladesh that sells smartphones to consumers through contract and prepaid plans, leveraging its network connectivity and device subsidies."
3,MTN Group,MTN,Subsidiary of MTN Group,fibre.mtn.co.za,Sells smartphones via carrier plans and subsidies,global,yes,"MTN Group is a mobile telecommunications company operating in multiple African and Middle Eastern markets. It provides cellular network services including voice, data, and digital solutions. MTN sells smartphones to consumers through contract and prepaid plans, often bundling devices with service subscriptions. The company also offers device financing options to make smartphones more accessible."
4,Rain,rain,Independent,rain.co.za,Sells smartphones bundled with service contracts,global,yes,Rain is a South African mobile network operator offering data-only and smartphone plans to consumers. It provides network connectivity and sells smartphones bundled with service contracts.
5,Verizon Communications,Verizon,Independent,verizon.com,Sells smartphones bundled with network plans,global,yes,"Verizon is a mobile network operator that sells smartphones to consumers through contracts and prepaid plans, bundling devices with network services."

=== Retailers and E-commerce Platforms (2) ===
1,Cellularsales,Cellularsales,,https://cellularsales.com,Retails smartphones and activates carrier plans,global,yes,"Cellular Sales is a retailer of wireless devices and service plans. It operates as an authorized dealer for major carriers, selling smartphones and activating service contracts. In the smartphones market, Cellular Sales provides retail sales and carrier plan activation."
2,Daraz,Daraz,Independent,daraz.pk,Sells smartphones online in South Asia,global,yes,"Daraz is an e-commerce platform that sells smartphones and accessories to consumers in South Asia, primarily in Pakistan, Bangladesh, Sri Lanka, Nepal, and Myanmar. The company operates online marketplaces connecting buyers and sellers. In the smartphones market, Daraz facilitates direct-to-consumer sales of devices."

=== Aftermarket Services and Accessories (11) ===
1,Aikusu,Aikusu,Independent,aikusu.com,Distributes smartphone accessories to retailers and consumers,global,yes,"Aikusu distributes a range of smartphone accessories including cases, screen protectors, and charging accessories to retailers and consumers. It operates as a distributor in the smartphone accessories market."
2,Anker Innovations Limited,Anker,Independent,anker.com,Designs and sells smartphone accessories,global,yes,"Anker designs and sells smartphone accessories including chargers, power banks, cables, and audio devices. It serves consumers globally with aftermarket products."
3,Beats Electronics LLC,Beats by Dre,Acquired by Apple,beatsbydre.com,Supplies audio accessories for smartphones,global,yes,"Beats by Dre designs and manufactures premium audio equipment including headphones, earphones, and portable speakers, primarily serving the consumer electronics market as an accessory brand for smartphones and other devices."
4,Belkin International,Belkin,Acquired by Foxconn,belkin.com,Supplies smartphone accessories like chargers and cases,global,yes,"Belkin International designs and manufactures accessories for smartphones, including charging solutions, cables, screen protectors, and cases. The company sells its products globally through retailers and online platforms. In the smartphones market, Belkin provides essential accessories that enhance device functionality and protection."
5,Bytecable,Bytecable,,https://bytecable.com,Manufactures charging cables and accessories for smartphones,global,yes,Bytecable specializes in manufacturing cables and charging accessories for electronic devices. Their products are used to charge and sync smartphones. The company focuses on connectivity solutions.
6,Cellpex,Cellpex,Independent,cellpex.com,"Distributes new, used, and refurbished smartphones and accessories",global,yes,"Cellpex operates a B2B wholesale marketplace for new, used, and refurbished smartphones and accessories. It connects buyers and sellers globally, facilitating trade in aftermarket devices. The platform serves as a distribution channel for refurbished phones and accessories."
7,Dwin,Dwin,Independent,dwin-global.com,Manufactures chargers and cables for smartphones,global,yes,"Dwin manufactures smartphone chargers, cables, and power accessories for mobile device users globally."
8,Edifier,Edifier,,https://edifier.com,Produces audio accessories like speakers and headphones for smartphones,global,yes,Edifier manufactures audio equipment including speakers and headphones. These products are used as accessories for smartphones and other devices. The company focuses on audio quality and design.
9,"Harman International Industries, Inc.","Harman International Industries, Inc.",,https://jbl.com,Produces audio accessories like headphones and speakers for smartphones,global,yes,"Harman International Industries, known for JBL, produces audio equipment including headphones and speakers. These products are commonly used as smartphone accessories. The company serves the consumer electronics market."
10,Mobilenzo,Mobilenzo,Independent,mobilenzo.com,Distributes smartphone accessories and replacement parts,global,yes,"Mobilenzo distributes a wide range of smartphone accessories and replacement parts to repair shops and retailers globally. The company supplies components such as screens, batteries, and charging ports. In the smartphones market, Mobilenzo serves as a distributor for aftermarket parts."
11,Mous,Mous,,https://mous.co,Manufactures protective smartphone cases and accessories,global,yes,"Mous produces protective cases for smartphones, focusing on impact-resistant designs. The brand also offers other accessories. Its products are sold as aftermarket items for device protection."

=== Multi-Segment Players (3) ===
1,Boutique,Boutique,,https://boutique.orange.fr,Sells smartphones and accessories through retail stores,global,yes,Orange is a telecommunications operator offering mobile and internet services in multiple countries. Its boutique retail stores sell smartphones and related accessories directly to consumers. Orange provides network connectivity and often offers devices through contract plans or prepaid options.
2,Samsung Electronics,Samsung,Independent,https://samsung.com,Manufactures Galaxy smartphones and key components,global,yes,"Samsung Electronics is a global leader in smartphone manufacturing, producing a wide range of Galaxy devices from flagship foldables to budget-friendly models. The company also develops key components like displays and chipsets for its own devices and other manufacturers."
3,Vertu,Vertu,Independent,vertu.com,Manufactures luxury smartphones with premium materials and concierge service,global,yes,"Vertu manufactures luxury smartphones using premium materials like titanium, sapphire crystal, and leather. The company targets high-net-worth individuals and offers a 24/7 concierge service. Its phones are sold as high-end devices with aftermarket services."
